986 2993
409 290 582
649 8 650
782 164 738
400 713 184
701 342 39
154 778 293
188 801 248
234 164 570
565 225 988
84 461 975
394 676 592
501 280 384
889 242 392
60 496 443
843 514 717
522 438 277
804 161 44
47 636 941
516 729 682
537 369 154
315 228 846
227 86 101
242 570 210
543 342 426
533 143 188
535 247 459
339 521 110
964 150 129
121 565 938
122 858 743
542 275 810
93 145 521
353 783 481
86 76 469
796 903 561
959 498 752
149 927 442
507 563 576
649 641 609
779 64 38
887 50 772
621 301 730
949 201 928
202 262 244
309 319 405
769 438 860
132 692 561
745 937 298
964 143 560
1 637 529
517 901 681
14 445 497
252 402 105
404 556 268
204 425 973
316 921 292
293 201 675
928 447 58
500 594 879
196 315 152
953 188 634
78 520 32
730 63 29
958 143 864
110 802 743
136 74 932
57 935 673
133 770 996
192 717 776
799 119 688
405 488 948
496 127 119
855 473 4
864 154 173
264 312 936
959 494 376
263 358 682
113 333 416
297 373 998
541 713 308
49 404 216
893 122 953
210 825 898
276 609 755
200 350 519
326 223 389
883 186 568
789 174 881
847 200 572
583 662 606
985 609 688
106 836 615
710 358 726
187 977 915
666 941 164
645 510 922
175 430 136
409 291 360
899 860 579
758 721 860
733 538 928
148 313 945
403 796 606
21 147 621
440 608 627
893 244 505
774 136 235
556 783 346
501 767 716
36 63 622
306 897 603
386 691 758
454 496 8
767 863 459
912 74 150
484 189 60
82 89 837
115 357 590
856 307 713
331 440 50
893 570 566
141 399 595
969 217 101
181 227 800
636 902 246
301 233 656
682 112 938
964 593 161
686 705 126
408 12 545
857 685 140
199 307 235
756 364 346
625 631 416
881 36 988
493 891 307
904 406 354
601 238 377
591 159 648
588 590 412
320 12 231
905 520 109
784 188 525
351 489 762
367 380 983
185 190 503
843 414 357
714 483 190
285 607 319
520 217 260
228 135 465
724 499 973
752 228 818
680 449 510
808 86 47
104 574 674
494 472 333
129 368 482
38 361 478
86 541 652
116 274 388
618 354 837
403 520 211
699 293 258
900 228 111
513 864 726
57 246 638
974 639 876
300 619 451
353 440 305
43 455 935
903 958 911
342 770 240
684 601 170
206 434 362
328 365 527
486 335 780
635 208 471
86 898 225
717 753 860
741 930 508
120 364 528
981 186 949
592 295 990
904 320 600
383 833 342
905 63 31
854 932 463
986 330 626
983 549 594
746 723 542
636 205 433
828 691 598
528 129 487
887 930 856
250 942 643
780 866 879
600 554 70
791 712 823
212 57 598
424 887 672
527 715 578
836 966 50
852 827 968
233 124 810
805 898 529
693 833 343
536 181 773
799 743 671
438 265 702
969 756 504
37 684 386
532 809 586
857 516 109
789 680 880
483 121 163
436 684 605
668 282 676
741 142 240
953 553 214
976 794 215
85 405 572
958 157 629
120 366 322
314 435 49
669 871 609
285 875 798
390 708 482
918 659 223
573 786 354
828 978 437
748 41 546
181 981 828
258 35 104
224 478 188
807 650 307
285 241 494
518 545 828
67 136 805
386 317 720
782 563 759
431 166 823
527 493 783
268 857 722
322 200 631
631 661 921
502 282 997
399 320 69
610 344 342
70 270 20
926 555 251
15 485 133
34 878 180
761 483 777
837 444 194
872 352 715
145 655 330
708 89 720
397 671 396
437 952 479
795 591 188
672 46 903
476 895 171
417 150 656
588 527 588
614 441 522
713 353 348
280 836 248
814 879 62
255 924 52
766 47 719
552 196 754
924 628 92
715 740 267
209 248 233
981 759 121
621 180 174
944 688 610
574 772 551
343 480 229
229 736 694
224 641 855
922 951 638
240 171 993
878 49 957
148 277 91
150 228 719
253 926 147
703 354 972
631 505 2
578 824 369
446 122 124
395 980 101
892 389 351
570 165 39
852 832 812
35 418 948
280 952 842
915 186 974
127 884 588
710 745 886
844 29 63
158 639 186
840 316 303
397 618 751
94 255 671
69 537 7
541 663 367
33 44 214
950 339 876
577 698 41
315 323 567
828 563 482
842 803 312
367 355 838
282 350 109
401 450 934
483 406 395
5 700 689
835 956 165
153 747 199
905 824 61
676 872 85
376 965 942
368 542 135
941 734 752
269 733 3
215 749 785
111 796 4
940 264 192
686 688 66
403 502 948
376 218 192
14 869 481
956 427 874
868 196 46
942 537 69
431 692 701
513 466 202
65 257 926
389 679 695
79 772 963
740 843 757
738 450 763
728 233 177
454 593 248
420 950 72
797 41 997
718 979 853
570 222 356
931 91 680
94 274 349
190 410 890
400 435 840
506 319 385
942 981 277
195 355 587
802 328 936
687 322 963
345 103 863
926 377 441
729 564 537
971 898 174
422 359 774
354 482 742
620 229 393
862 239 42
255 615 977
764 708 968
754 436 477
275 126 60
178 558 566
744 689 158
169 497 876
278 130 668
910 246 858
733 635 924
533 2 266
230 358 871
92 259 296
926 102 465
194 776 604
852 558 537
701 112 425
377 480 284
16 968 634
295 942 145
789 350 386
785 594 672
971 981 797
783 346 595
344 975 74
215 302 43
752 277 802
775 367 532
188 332 798
447 717 847
653 243 376
612 254 724
27 52 236
590 142 456
902 799 588
885 507 420
24 952 627
949 463 477
73 833 806
978 201 122
887 474 842
448 487 317
795 310 337
156 614 788
385 809 259
195 250 83
48 384 859
649 394 969
654 512 446
810 985 138
547 131 659
860 801 34
199 901 907
500 184 680
368 672 861
862 943 612
191 852 989
945 640 157
985 942 857
923 714 723
293 930 395
582 887 961
451 288 478
237 156 78
293 38 908
430 681 217
239 857 913
241 814 315
253 761 552
12 698 28
908 736 540
79 175 581
897 476 533
687 207 115
566 694 589
294 170 226
537 289 58
344 972 75
840 396 616
369 956 300
585 637 363
26 203 113
746 616 310
312 716 347
531 270 400
890 653 174
237 297 369
514 332 435
372 849 989
85 938 699
408 714 135
252 953 754
763 202 897
262 838 806
350 677 637
398 584 16
841 510 786
394 612 292
249 755 419
15 57 216
190 171 34
705 816 692
321 913 194
976 352 254
804 734 606
309 536 667
673 498 754
557 837 182
606 675 731
670 829 652
737 935 158
483 822 810
392 285 829
301 792 910
514 542 272
306 695 766
330 125 686
2 310 837
691 881 262
204 351 780
925 983 953
372 180 425
765 851 795
499 311 1
733 569 395
684 919 265
665 131 997
734 952 929
591 396 314
439 22 627
922 658 310
162 549 57
323 131 155
423 159 647
245 66 752
639 415 323
648 6 530
82 217 947
601 374 920
692 566 498
729 856 126
420 631 503
63 400 403
957 615 713
119 348 63
808 339 969
454 460 133
901 321 555
112 890 16
455 854 156
255 503 108
120 564 456
496 495 36
317 532 52
54 561 447
754 6 536
507 109 723
799 837 923
772 498 120
138 412 43
301 957 427
608 774 426
469 502 508
444 456 160
873 743 264
294 45 324
653 239 879
20 873 848
846 615 994
887 914 294
55 478 820
63 805 868
678 21 644
742 512 190
828 40 345
612 771 350
662 676 370
196 482 771
469 363 345
791 485 135
882 243 112
509 516 907
512 371 745
281 682 733
204 535 134
512 451 464
110 835 104
683 248 425
362 725 117
194 764 959
413 571 79
657 955 894
419 763 657
15 51 762
39 579 342
369 552 107
407 405 112
335 393 743
240 405 410
89 752 963
716 442 141
580 744 196
203 711 166
727 658 844
428 13 914
475 575 91
315 506 623
354 741 801
907 178 352
522 810 206
198 146 75
119 694 928
497 892 970
646 350 27
680 527 650
736 449 253
787 715 440
545 966 285
416 269 443
556 650 221
491 959 887
945 785 734
754 619 488
153 658 415
858 588 623
271 755 581
858 13 144
656 836 72
463 277 884
900 659 710
190 605 2
269 467 855
424 58 550
147 33 258
325 397 306
308 886 69
408 755 689
637 176 374
543 709 541
387 597 422
223 247 306
786 538 642
791 194 865
328 202 245
754 676 291
393 798 160
21 531 37
40 639 885
795 135 191
533 807 680
600 38 662
194 198 941
4 585 65
68 950 981
494 872 563
103 830 398
455 730 409
80 865 693
174 430 687
858 711 955
174 457 67
765 943 218
136 630 243
588 42 237
510 602 648
40 33 182
239 614 681
930 25 724
929 705 910
698 81 707
973 422 430
639 866 695
42 265 405
300 162 335
391 136 925
139 766 538
96 87 279
193 625 953
62 663 880
206 649 520
275 280 456
800 289 495
451 207 809
941 790 132
465 739 326
689 937 307
18 731 697
724 60 368
368 329 239
782 526 222
461 223 787
359 235 420
714 979 73
248 747 430
424 376 732
